=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Struct(GraphNode)    | Type: StructNode                | Symbol: Symbol{name='GraphNode', kind=STRUCT, scopeLevel=0}
Node: GraphNode            | Type: IdentifierNode            | Symbol: Symbol{name='GraphNode', kind=STRUCT, scopeLevel=0}
Node: Field(id)            | Type: FieldNode                 | Symbol: Symbol{name='id', kind=FIELD, scopeLevel=0}
Node: id                   | Type: IdentifierNode            | Symbol: Symbol{name='id', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(visited)       | Type: FieldNode                 | Symbol: Symbol{name='visited', kind=FIELD, scopeLevel=0}
Node: visited              | Type: IdentifierNode            | Symbol: Symbol{name='visited', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(neighbors)     | Type: FieldNode                 | Symbol: Symbol{name='neighbors', kind=FIELD, scopeLevel=0}
Node: neighbors            | Type: IdentifierNode            | Symbol: Symbol{name='neighbors', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Field(neighbor_count) | Type: FieldNode                 | Symbol: Symbol{name='neighbor_count', kind=FIELD, scopeLevel=0}
Node: neighbor_count       | Type: IdentifierNode            | Symbol: Symbol{name='neighbor_count', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: Impl(for TypePathExprNode@cc34f4d) | Type: ImplNode                  | TypeSymbol: Symbol{name='GraphNode', kind=STRUCT, scopeLevel=0} | TraitSymbol: null                          
Node: PathExprSeg(GraphNode) | Type: PathExprSegNode           | Symbol: Symbol{name='GraphNode', kind=STRUCT, scopeLevel=0}
Node: GraphNode            | Type: IdentifierNode            | Symbol: Symbol{name='GraphNode', kind=STRUCT, scopeLevel=0}
Node: Function(new)        | Type: FunctionNode              | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: new                  | Type: IdentifierNode            | Symbol: Symbol{name='new', kind=FUNCTION, scopeLevel=1}
Node: node_id              | Type: IdentifierNode            | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(GraphNode) | Type: PathExprSegNode           | Symbol: Symbol{name='GraphNode', kind=STRUCT, scopeLevel=0}
Node: GraphNode            | Type: IdentifierNode            | Symbol: Symbol{name='GraphNode', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='GraphNode', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(GraphNode) | Type: PathExprSegNode           | Symbol: Symbol{name='GraphNode', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: GraphNode            | Type: IdentifierNode            | Symbol: Symbol{name='GraphNode', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(id)         | Type: FieldValNode              | Symbol: Symbol{name='id', kind=FIELD, scopeLevel=0}
Node: id                   | Type: IdentifierNode            | Symbol: Symbol{name='id', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(node_id) | Type: PathExprSegNode           | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=2}
Node: node_id              | Type: IdentifierNode            | Symbol: Symbol{name='node_id', kind=PARAMETER, scopeLevel=2}
Node: FieldVal(visited)    | Type: FieldValNode              | Symbol: Symbol{name='visited', kind=FIELD, scopeLevel=0}
Node: visited              | Type: IdentifierNode            | Symbol: Symbol{name='visited', kind=FIELD, scopeLevel=0}
Node: FieldVal(neighbors)  | Type: FieldValNode              | Symbol: Symbol{name='neighbors', kind=FIELD, scopeLevel=0}
Node: neighbors            | Type: IdentifierNode            | Symbol: Symbol{name='neighbors', kind=FIELD, scopeLevel=0}
Node: FieldVal(neighbor_count) | Type: FieldValNode              | Symbol: Symbol{name='neighbor_count', kind=FIELD, scopeLevel=0}
Node: neighbor_count       | Type: IdentifierNode            | Symbol: Symbol{name='neighbor_count', kind=FIELD, scopeLevel=0}
Node: Function(add_neighbor) | Type: FunctionNode              | Symbol: Symbol{name='add_neighbor', kind=FUNCTION, scopeLevel=1}
Node: add_neighbor         | Type: IdentifierNode            | Symbol: Symbol{name='add_neighbor', kind=FUNCTION, scopeLevel=1}
Node: SelfPara             | Type: SelfParaNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: neighbor_id          | Type: IdentifierNode            | Symbol: Symbol{name='neighbor_id', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: neighbor_count       | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: neighbors            | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: neighbor_count       | Type: IdentifierNode            | Symbol: null
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='neighbor_id', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(neighbor_id) | Type: PathExprSegNode           | Symbol: Symbol{name='neighbor_id', kind=PARAMETER, scopeLevel=2}
Node: neighbor_id          | Type: IdentifierNode            | Symbol: Symbol{name='neighbor_id', kind=PARAMETER, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: neighbor_count       | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: PathExprSeg(SELF)    | Type: PathExprSegNode           | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: neighbor_count       | Type: IdentifierNode            | Symbol: null
Node: Function(has_neighbor) | Type: FunctionNode              | Symbol: Symbol{name='has_neighbor', kind=FUNCTION, scopeLevel=1}
Node: has_neighbor         | Type: IdentifierNode            | Symbol: Symbol{name='has_neighbor', kind=FUNCTION, scopeLevel=1}
Node: SelfPara             | Type: SelfParaNode              | Symbol: Symbol{name='self', kind=SELF_CONSTRUCTOR, scopeLevel=2}
Node: target_id            | Type: IdentifierNode            | Symbol: Symbol{name='target_id', kind=PARAMETER, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
